Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
2014-11-27,40,Male,Other,Not applicable,No,Yes,No,Rarely,6-25,Yes,Yes,No,Yes,Yes,Yes,No,Don't know,No,No,No,Some of them,Maybe,No,Yes,Don't know,
2014-03-29,50,Male,Canada,Not applicable,No,No,Yes,Often,1000+,Yes,Yes,Yes,No,Don't know,Yes,No,Very easy,Don't know,No,No,Yes,No,Yes,Don't know,No,
2014-04-10,18,Male,United States,Illinois,Yes,Yes,Yes,Rarely,500-1000,No,No,Don't know,Don't know,No,Yes,Yes,Somewhat easy,No,Yes,No,Yes,No,Maybe,Yes,No,
2014-12-26,45,Male,Australia,Not applicable,No,No,Yes,Rarely,500-1000,No,Yes,No,Don't know,Yes,No,No,Somewhat difficult,No,Yes,Yes,Yes,No,Maybe,Yes,Don't know,
2014-06-01,18,Male,United Kingdom,Not applicable,No,Yes,Yes,Often,1000+,No,Yes,No,Don't know,Don't know,No,Don't know,Somewhat easy,No,No,No,No,Maybe,Yes,Yes,Yes,
2014-05-11,45,Male,United States,Pennsylvania,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Don't know,No,No,Yes,Somewhat easy,Yes,No,Some of them,Yes,No,Maybe,No,Yes,
2014-05-30,25,Female,United States,Illinois,No,No,No,Never,1-5,Yes,Yes,Don't know,Yes,Don't know,No,No,Very difficult,No,Don't know,Yes,No,No,Yes,No,Yes,
2014-11-05,65,Female,Canada,Not applicable,No,Yes,No,Rarely,100-500,Yes,Yes,Don't know,Yes,Yes,No,No,Don't know,No,No,Yes,No,No,No,Don't know,Don't know,
2014-09-15,50,Female,India,Not applicable,Yes,No,No,Sometimes,100-500,Yes,Yes,Don't know,Don't know,Yes,No,Don't know,Very difficult,No,No,No,No,No,Maybe,Yes,Yes,
2014-12-10,25,Female,United States,Florida,No,No,Yes,Rarely,100-500,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Somewhat difficult,Don't know,No,Yes,Yes,Yes,Yes,No,No,
2014-10-21,18,Male,United States,Washington,No,No,No,Rarely,1-5,No,Yes,Yes,No,Yes,Yes,No,Somewhat easy,No,No,No,Some of them,Maybe,No,No,Yes,
2014-07-11,50,Female,United Kingdom,Not applicable,No,No,Yes,Never,100-500,No,No,Yes,No,No,No,No,Somewhat difficult,No,No,No,No,No,Yes,Don't know,Don't know,
2014-10-04,25,Male,United States,Florida,No,No,Yes,Sometimes,26-100,Yes,No,Yes,Yes,Yes,No,Yes,Somewhat difficult,Don't know,No,Yes,Some of them,Yes,Yes,Yes,Yes,
2014-06-10,21,Male,Germany,Not applicable,No,Yes,No,Sometimes,26-100,Yes,Yes,Don't know,Don't know,No,No,No,Somewhat difficult,Don't know,No,Some of them,No,Maybe,No,Yes,No,
2014-11-10,18,Male,Canada,Not applicable,Yes,No,No,Rarely,26-100,No,Yes,Yes,No,Yes,Yes,No,Somewhat easy,No,No,No,Yes,No,Maybe,No,Yes,
2014-01-22,25,Male,United States,Illinois,No,No,Yes,Rarely,26-100,Yes,No,Yes,No,Yes,No,Don't know,Don't know,Yes,No,Some of them,Yes,Maybe,No,Yes,Yes,
2014-09-10,21,Male,Other,Not applicable,No,No,No,Never,100-500,No,Yes,Yes,Don't know,No,No,No,Very difficult,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,
2014-08-24,21,Other,Germany,Not applicable,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,Yes,No,Yes,Somewhat difficult,No,No,Some of them,No,Maybe,Maybe,No,Don't know,
2014-12-11,40,Male,United States,Illinois,No,No,No,Never,1000+,Yes,No,Yes,Yes,No,Yes,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
2014-02-18,18,Male,United Kingdom,Not applicable,No,No,No,Sometimes,1000+,Yes,No,No,No,Don't know,Don't know,Yes,Somewhat easy,Yes,No,Yes,No,No,No,No,Don't know,
2014-02-28,21,Male,Australia,Not applicable,Yes,No,No,Sometimes,100-500,No,No,No,Don't know,No,No,Yes,Very easy,Yes,No,Yes,No,Maybe,No,No,No,
2014-06-19,40,Female,India,Not applicable,No,No,Yes,Often,1000+,Yes,No,Yes,No,Don't know,No,Yes,Very difficult,No,No,No,No,Maybe,No,No,No,
2014-07-07,25,Male,United States,Massachusetts,Yes,Yes,No,Never,1000+,Yes,Yes,Yes,No,Yes,No,Yes,Don't know,No,No,Some of them,Yes,No,Yes,No,Yes,
2014-09-28,30,Female,Other,Not applicable,Yes,Yes,No,Sometimes,100-500,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Somewhat difficult,Yes,Yes,No,Some of them,No,Maybe,No,Yes,
2014-07-09,18,Male,Canada,Not applicable,No,No,No,Sometimes,100-500,No,Yes,Yes,Yes,Don't know,Yes,Yes,Very easy,Yes,Yes,Some of them,Yes,Yes,No,No,Yes,
2014-06-24,50,Male,United States,Pennsylvania,No,No,Yes,Sometimes,1000+,No,Yes,No,Don't know,No,Yes,Yes,Very difficult,No,No,Yes,Yes,Maybe,No,Yes,Don't know,
2014-02-20,45,Male,United States,Washington,No,No,No,Often,500-1000,Yes,Yes,No,Don't know,No,No,Don't know,Very easy,Yes,Don't know,Yes,No,No,No,Yes,Don't know,
2014-12-30,45,Female,United States,Florida,No,Yes,No,Rarely,26-100,No,No,No,Yes,No,No,No,Somewhat difficult,Yes,No,Some of them,Yes,Yes,Yes,No,No,
2014-02-24,25,Male,Australia,Not applicable,No,No,No,Never,500-1000,No,No,No,Yes,No,Yes,Yes,Somewhat easy,No,Yes,No,No,No,No,No,Yes,
2014-09-01,60,Male,United States,Pennsylvania,Yes,No,No,Sometimes,26-100,No,Yes,Yes,Don't know,Yes,Don't know,Yes,Don't know,No,Don't know,Some of them,Yes,No,Maybe,No,Yes,
2014-11-16,60,Male,United States,California,Yes,No,No,Rarely,26-100,Yes,No,Don't know,Don't know,No,No,Yes,Somewhat difficult,Yes,Don't know,Yes,No,Maybe,Maybe,No,Don't know,
2014-05-11,25,Male,France,Not applicable,Yes,No,No,Never,26-100,No,No,Don't know,Don't know,No,No,Yes,Very difficult,No,No,Some of them,Some of them,Yes,Yes,Yes,Yes,
2014-11-03,21,Male,United States,Pennsylvania,No,Yes,No,Rarely,26-100,No,Yes,Don't know,Don't know,No,Yes,Yes,Somewhat easy,Yes,No,No,No,Yes,No,Yes,No,
2014-05-15,18,Male,United States,California,No,No,Yes,Rarely,1-5,Yes,Yes,Yes,No,Don't know,Yes,No,Somewhat easy,No,No,Some of them,No,No,No,Yes,Yes,
2014-01-21,45,Male,United States,Washington,No,Yes,No,Sometimes,1000+,Yes,Yes,Don't know,No,No,No,Yes,Don't know,Yes,No,Yes,No,No,Yes,No,Yes,
2014-11-25,45,Male,United States,Florida,Yes,No,Yes,Never,26-100,Yes,Yes,Don't know,No,Yes,Don't know,No,Somewhat easy,Yes,Don't know,No,No,Yes,Yes,No,No,
2014-06-16,21,Male,United States,Florida,No,Yes,No,Rarely,6-25,Yes,Yes,Don't know,Yes,Don't know,No,Don't know,Somewhat difficult,No,Yes,Some of them,Some of them,No,No,No,Yes,
2014-10-01,45,Male,India,Not applicable,No,No,Yes,Sometimes,6-25,Yes,Yes,Yes,No,No,Don't know,No,Somewhat easy,No,No,Some of them,Yes,No,No,No,Yes,
2014-03-30,50,Male,United States,New York,No,Yes,No,Sometimes,100-500,No,Yes,No,No,No,Don't know,Don't know,Very difficult,Yes,No,Yes,Some of them,Maybe,Yes,Don't know,Don't know,
2014-11-12,18,Non-binary,United States,Illinois,Yes,No,Yes,Often,1000+,No,Yes,Don't know,No,Yes,No,No,Very easy,Yes,Don't know,Yes,No,Yes,Yes,Don't know,No,
2014-01-14,55,Male,Australia,Not applicable,No,No,Yes,Never,6-25,Yes,No,No,No,Yes,No,No,Somewhat easy,Don't know,Don't know,No,No,Maybe,Yes,No,No,
2014-08-30,45,Female,India,Not applicable,Yes,No,No,Often,6-25,No,Yes,No,No,No,No,No,Somewhat difficult,No,Don't know,Yes,Yes,No,Yes,Don't know,No,
2014-09-22,25,Female,Canada,Not applicable,Yes,Yes,Yes,Sometimes,100-500,No,No,Don't know,Yes,No,No,Yes,Somewhat easy,Yes,No,No,Yes,Yes,No,No,Yes,
2014-12-12,50,Male,United Kingdom,Not applicable,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,Don't know,Yes,Yes,Very easy,No,No,Yes,No,Yes,Yes,Don't know,Yes,
2014-02-22,45,Non-binary,United States,Texas,No,Yes,Yes,Rarely,26-100,No,Yes,No,Yes,Don't know,No,No,Somewhat difficult,Yes,No,Yes,Some of them,No,Yes,Don't know,Yes,
2014-12-06,65,Male,Canada,Not applicable,No,No,No,Sometimes,26-100,Yes,No,Yes,Yes,Don't know,Yes,No,Somewhat difficult,No,No,No,No,No,Maybe,Don't know,Yes,
2014-04-02,50,Other,United Kingdom,Not applicable,No,Yes,No,Often,100-500,No,Yes,Don't know,Don't know,No,Don't know,No,Very easy,Yes,No,No,Yes,No,Yes,No,Yes,
2014-09-21,40,Male,United States,Massachusetts,No,No,No,Often,26-100,No,Yes,Yes,Yes,No,Don't know,Don't know,Somewhat difficult,Yes,No,No,Yes,No,No,No,No,
2014-02-04,55,Male,Other,Not applicable,No,No,No,Rarely,1000+,No,No,No,Yes,No,Yes,No,Don't know,Yes,Don't know,Some of them,No,No,Maybe,No,Yes,
2014-07-25,35,Female,United States,Pennsylvania,Yes,No,No,Never,1-5,No,Yes,No,No,Yes,Yes,No,Very easy,No,No,Yes,No,No,No,Yes,No,
2014-03-22,25,Non-binary,Australia,Not applicable,No,No,Yes,Sometimes,26-100,Yes,Yes,No,No,Yes,No,No,Somewhat difficult,Yes,Yes,No,Yes,Yes,No,No,Yes,
2014-02-19,25,Female,United States,Washington,No,No,Yes,Often,1000+,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,Yes,Yes,No,No,Don't know,Yes,
2014-12-26,18,Male,Australia,Not applicable,Yes,Yes,No,Rarely,1000+,No,No,Don't know,No,Don't know,Yes,Don't know,Very easy,Yes,No,No,No,No,Yes,Yes,Yes,
2014-01-02,50,Male,Germany,Not applicable,Yes,No,Yes,Sometimes,6-25,No,Yes,Don't know,No,Yes,No,Don't know,Very easy,Yes,Don't know,Yes,No,Yes,No,No,No,
2014-02-23,21,Non-binary,France,Not applicable,No,No,Yes,Sometimes,1000+,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,No,Yes,No,Maybe,No,No,Yes,
2014-04-16,25,Male,United States,Texas,No,Yes,No,Sometimes,500-1000,Yes,Yes,Yes,Yes,Don't know,Yes,No,Very difficult,Yes,Yes,Yes,Some of them,No,Yes,No,No,
2014-09-17,50,Female,United Kingdom,Not applicable,No,No,No,Sometimes,26-100,No,Yes,Yes,Don't know,Yes,Yes,Yes,Very easy,No,No,Yes,No,Maybe,No,Don't know,No,
2014-11-06,50,Female,United Kingdom,Not applicable,No,No,Yes,Rarely,100-500,No,No,Yes,Don't know,No,Yes,Yes,Very difficult,Yes,Yes,Some of them,Yes,Yes,Maybe,Don't know,Yes,
2014-07-10,65,Male,India,Not applicable,No,No,Yes,Often,26-100,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,No,No,No,Maybe,Yes,No,No,
2014-08-06,30,Male,United Kingdom,Not applicable,Yes,Yes,No,Sometimes,6-25,Yes,Yes,Don't know,Yes,Yes,Don't know,Yes,Somewhat easy,No,Yes,Some of them,Some of them,No,No,Yes,Don't know,
2014-02-13,30,Male,United Kingdom,Not applicable,No,No,No,Sometimes,26-100,Yes,Yes,Don't know,No,Don't know,No,Don't know,Somewhat difficult,Don't know,Yes,No,Some of them,No,No,No,No,
2014-06-11,35,Male,Canada,Not applicable,No,Yes,No,Rarely,100-500,No,No,Yes,No,Yes,No,Yes,Don't know,Yes,Yes,Yes,Some of them,No,No,No,Yes,
2014-07-21,40,Non-binary,United States,Pennsylvania,Yes,Yes,No,Sometimes,1000+,No,Yes,Yes,Yes,No,Yes,Don't know,Somewhat easy,Yes,Don't know,Yes,No,Yes,No,No,No,
2014-09-27,35,Male,Canada,Not applicable,No,No,No,Rarely,100-500,No,No,No,No,Yes,No,Yes,Somewhat difficult,No,No,Yes,No,Maybe,No,Yes,No,
2014-12-17,45,Non-binary,United States,Texas,No,No,No,Rarely,26-100,No,No,No,No,Yes,Yes,No,Somewhat difficult,Don't know,No,Yes,Some of them,No,Yes,No,Yes,
2014-10-31,21,Male,Other,Not applicable,No,No,No,Sometimes,100-500,No,Yes,Yes,Yes,Yes,No,Yes,Very easy,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,
2014-09-28,45,Prefer not to say,India,Not applicable,No,Yes,Yes,Sometimes,500-1000,Yes,Yes,Don't know,No,Yes,Don't know,No,Very easy,No,No,No,Yes,Yes,Yes,No,Yes,
2014-08-03,60,Male,Other,Not applicable,No,No,No,Sometimes,500-1000,Yes,Yes,Don't know,Don't know,Yes,Yes,Yes,Very easy,No,No,No,Some of them,Yes,No,Yes,Yes,
2014-09-09,45,Male,United States,Washington,No,No,Yes,Rarely,26-100,Yes,No,Yes,Yes,No,No,No,Somewhat easy,No,No,Yes,No,No,No,No,Yes,
2014-07-09,18,Male,Netherlands,Not applicable,Yes,Yes,Yes,Sometimes,100-500,Yes,Yes,Don't know,Don't know,No,Yes,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,Yes,
2014-10-23,45,Female,Australia,Not applicable,No,No,No,Rarely,100-500,No,Yes,Yes,Yes,No,No,Yes,Very difficult,No,Don't know,Yes,Yes,No,No,Don't know,Yes,
2014-08-01,35,Female,India,Not applicable,No,Yes,No,Sometimes,500-1000,No,No,No,Don't know,No,Yes,Yes,Don't know,Don't know,No,Yes,No,No,No,No,Don't know,
2014-07-27,25,Female,Germany,Not applicable,No,No,No,Rarely,6-25,Yes,Yes,Yes,Yes,Don't know,No,No,Very easy,No,Don't know,Some of them,No,No,No,Yes,No,
2014-08-25,25,Male,United States,Florida,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,No,Yes,No,Don't know,
2014-12-04,30,Male,France,Not applicable,No,Yes,No,Often,100-500,No,Yes,Don't know,No,No,No,Don't know,Very easy,No,No,No,No,Yes,No,Don't know,No,
2014-02-22,21,Male,United Kingdom,Not applicable,No,Yes,No,Rarely,1000+,No,Yes,Yes,No,Don't know,No,Yes,Very easy,No,Don't know,No,No,No,No,No,Yes,
2014-10-07,21,Male,United States,Washington,Yes,Yes,No,Rarely,100-500,Yes,No,No,Don't know,No,Yes,No,Somewhat easy,No,No,Yes,No,Yes,Maybe,No,Yes,
2014-08-05,18,Male,United States,Pennsylvania,No,Yes,Yes,Sometimes,1000+,No,Yes,Yes,Yes,No,No,No,Somewhat easy,No,Don't know,Some of them,Yes,Maybe,Yes,Yes,No,
2014-09-09,35,Prefer not to say,Other,Not applicable,No,No,No,Sometimes,6-25,Yes,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Yes,Yes,No,No,No,Maybe,No,Yes,
2014-07-07,30,Other,France,Not applicable,No,No,No,Sometimes,100-500,No,No,Yes,No,No,No,No,Somewhat easy,Yes,No,Yes,Yes,Maybe,No,No,Yes,
2014-02-10,65,Non-binary,Other,Not applicable,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,No,Yes,No,Somewhat difficult,No,Don't know,Some of them,No,No,Yes,No,Yes,
2014-06-06,60,Female,Germany,Not applicable,No,Yes,No,Rarely,500-1000,Yes,No,No,Yes,No,Yes,Yes,Somewhat easy,Don't know,Yes,Yes,No,Maybe,Yes,Don't know,Yes,
2014-01-15,21,Male,United States,Texas,No,No,No,Rarely,1000+,No,No,Yes,No,Don't know,Don't know,Yes,Very easy,Yes,Don't know,Yes,Some of them,No,Yes,Yes,Yes,
2014-10-28,25,Male,United States,Illinois,No,No,Yes,Rarely,1000+,No,Yes,No,No,Don't know,No,Yes,Very difficult,No,Don't know,Some of them,No,No,No,Yes,Yes,
2014-03-06,45,Male,United States,Massachusetts,No,Yes,Yes,Never,500-1000,No,Yes,No,Don't know,No,No,No,Very easy,Yes,Don't know,No,Yes,No,Yes,Don't know,Yes,
2014-12-11,45,Female,United States,Massachusetts,No,Yes,Yes,Sometimes,500-1000,No,No,No,Don't know,No,Yes,Yes,Don't know,Yes,No,Yes,No,No,No,No,No,
2014-11-23,30,Male,United States,Illinois,No,No,No,Never,1000+,Yes,Yes,Yes,Yes,Yes,No,Yes,Very easy,Don't know,No,Yes,No,Maybe,Maybe,Yes,Yes,
2014-01-09,35,Male,United States,Illinois,No,Yes,Yes,Often,100-500,Yes,Yes,Don't know,No,Yes,Yes,Yes,Somewhat difficult,Don't know,Don't know,Some of them,Some of them,No,No,No,No,
2014-12-10,35,Male,Canada,Not applicable,No,Yes,No,Often,1000+,No,No,Yes,Yes,No,Don't know,Yes,Don't know,Yes,No,Yes,Some of them,Yes,No,Don't know,No,
2014-05-09,40,Male,Other,Not applicable,No,No,No,Often,1000+,Yes,Yes,Yes,No,No,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,No,
2014-05-16,55,Non-binary,Canada,Not applicable,No,No,No,Often,100-500,No,No,Yes,No,Yes,Yes,Don't know,Somewhat easy,Yes,Don't know,No,Yes,Maybe,No,Yes,Yes,
2014-03-04,21,Female,Netherlands,Not applicable,No,No,Yes,Rarely,500-1000,Yes,Yes,Yes,Don't know,Don't know,No,Yes,Very difficult,Don't know,No,Some of them,Yes,No,Yes,Yes,No,
2014-05-19,35,Male,Germany,Not applicable,No,No,Yes,Often,100-500,Yes,Yes,Yes,No,No,Yes,No,Very easy,Yes,Don't know,Yes,No,No,Maybe,Don't know,Yes,
2014-03-22,25,Other,United States,Florida,No,No,No,Never,6-25,No,Yes,No,Don't know,No,No,No,Somewhat difficult,Yes,Yes,Some of them,Yes,No,Yes,Don't know,Yes,
2014-06-12,30,Female,United States,Pennsylvania,No,Yes,No,Never,100-500,Yes,No,Yes,Don't know,Yes,Don't know,No,Very easy,No,Yes,No,Yes,No,No,No,No,
2014-10-16,60,Male,United States,California,No,Yes,No,Sometimes,6-25,No,Yes,Yes,Don't know,Yes,No,No,Somewhat easy,Don't know,No,No,No,Maybe,No,No,Yes,
2014-09-18,40,Male,United States,Washington,No,Yes,Yes,Never,100-500,No,No,No,Don't know,Don't know,Yes,Yes,Very easy,Yes,No,No,Yes,No,No,Yes,Yes,
2014-08-19,50,Male,India,Not applicable,Yes,Yes,Yes,Often,1000+,No,Yes,Yes,No,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Yes,Yes,
2014-02-10,18,Male,United States,Massachusetts,No,No,No,Sometimes,6-25,No,Yes,Yes,Yes,Don't know,Don't know,No,Very easy,Yes,Yes,Yes,No,No,Yes,Don't know,Yes,
2014-01-28,60,Other,United States,Illinois,Yes,No,Yes,Sometimes,1-5,Yes,Yes,Yes,Yes,Don't know,No,Don't know,Very easy,Don't know,Don't know,Yes,Yes,Maybe,Yes,Yes,Yes,
2014-05-15,50,Male,United States,Washington,No,No,No,Rarely,500-1000,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,Some of them,No,No,No,No,Don't know,
2014-07-20,65,Non-binary,Other,Not applicable,No,No,No,Sometimes,26-100,No,Yes,Yes,No,Yes,Yes,Don't know,Somewhat easy,Don't know,No,No,Some of them,Maybe,No,No,Yes,
2014-11-24,45,Male,Australia,Not applicable,No,Yes,Yes,Never,100-500,No,Yes,Yes,No,Don't know,Yes,No,Somewhat easy,No,No,No,Yes,No,No,Yes,Yes,
2014-09-25,18,Male,India,Not applicable,No,Yes,No,Often,100-500,No,Yes,No,No,Don't know,Don't know,Don't know,Very easy,Yes,No,No,No,Maybe,Yes,No,No,
2014-02-02,21,Male,United States,Massachusetts,No,No,No,Never,6-25,No,No,No,Don't know,No,No,No,Somewhat difficult,Don't know,Yes,No,Some of them,Maybe,No,No,No,
2014-02-17,25,Male,Australia,Not applicable,Yes,No,Yes,Sometimes,1-5,No,Yes,No,Don't know,No,No,No,Somewhat difficult,Don't know,Yes,Some of them,Some of them,No,Maybe,No,Don't know,
2014-03-03,18,Male,Australia,Not applicable,No,No,No,Rarely,1000+,No,No,Don't know,Yes,No,No,No,Somewhat easy,No,No,Some of them,No,Maybe,No,Yes,Don't know,
2014-08-04,55,Non-binary,Germany,Not applicable,No,No,Yes,Never,26-100,Yes,Yes,Yes,Yes,No,No,Don't know,Very easy,Yes,Yes,No,No,Yes,Maybe,Yes,No,
2014-10-20,50,Male,Other,Not applicable,Yes,No,No,Sometimes,100-500,Yes,Yes,Yes,No,No,Yes,Don't know,Somewhat difficult,No,Yes,Yes,Yes,No,No,No,Don't know,
2014-04-09,21,Male,United States,Illinois,No,No,Yes,Never,1000+,No,Yes,Yes,Yes,Don't know,Yes,Yes,Very difficult,No,No,No,No,Maybe,Yes,Don't know,Yes,
2014-06-21,55,Male,Other,Not applicable,No,Yes,No,Sometimes,1000+,Yes,Yes,Yes,No,No,No,No,Somewhat easy,No,Yes,No,Some of them,No,Yes,Yes,No,
2014-12-26,45,Male,Other,Not applicable,No,No,No,Rarely,6-25,Yes,Yes,Yes,No,Yes,No,Yes,Very easy,No,No,No,No,No,No,Don't know,Don't know,
2014-08-02,55,Male,United States,Pennsylvania,No,No,No,Rarely,100-500,Yes,Yes,Yes,No,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No,No,No,
2014-02-04,40,Male,Canada,Not applicable,No,Yes,Yes,Sometimes,500-1000,No,Yes,No,Don't know,Yes,Don't know,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Don't know,Don't know,
2014-08-15,40,Male,Other,Not applicable,No,No,No,Rarely,500-1000,Yes,No,No,Don't know,Yes,No,Yes,Don't know,No,No,No,No,Maybe,No,Yes,Yes,
2014-04-11,65,Male,United States,Massachusetts,No,Yes,Yes,Rarely,500-1000,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Very easy,Yes,Yes,No,No,No,Maybe,Yes,Yes,
2014-05-11,30,Male,United Kingdom,Not applicable,No,No,No,Often,100-500,Yes,No,No,No,Yes,Don't know,Yes,Somewhat easy,No,Don't know,Some of them,No,Maybe,No,Yes,Don't know,
2014-09-14,60,Male,Other,Not applicable,No,Yes,No,Never,6-25,No,Yes,Yes,No,Yes,No,No,Very easy,No,Don't know,No,Yes,No,No,No,Yes,
2014-01-05,60,Male,United Kingdom,Not applicable,No,No,Yes,Never,100-500,No,Yes,Yes,Yes,No,No,No,Somewhat easy,No,Yes,Yes,No,No,Yes,Don't know,No,
2014-08-06,21,Male,United States,Florida,No,Yes,Yes,Rarely,500-1000,No,Yes,No,Yes,No,No,Yes,Somewhat easy,Yes,Don't know,No,No,No,No,Yes,Yes,
2014-09-12,45,Non-binary,Germany,Not applicable,No,No,No,Rarely,500-1000,Yes,Yes,Yes,No,No,No,Yes,Don't know,No,No,Some of them,Yes,No,Maybe,No,No,
2014-12-25,35,Female,United States,California,No,Yes,Yes,Sometimes,1-5,No,Yes,Yes,Yes,Yes,Yes,No,Very easy,Yes,Yes,No,Yes,Yes,Yes,Yes,Don't know,
2014-10-10,65,Male,United Kingdom,Not applicable,No,Yes,No,Rarely,1-5,No,Yes,Yes,Yes,Yes,No,Yes,Very difficult,No,Yes,No,Yes,No,Maybe,No,Yes,
2014-07-26,40,Male,United States,California,No,No,Yes,Sometimes,1000+,No,Yes,Don't know,No,Yes,Don't know,Don't know,Somewhat easy,No,No,No,No,No,Maybe,Yes,Yes,
2014-01-15,21,Prefer not to say,Germany,Not applicable,No,No,Yes,Never,6-25,No,Yes,No,No,No,No,Don't know,Very difficult,No,No,Yes,No,No,No,Yes,Yes,
2014-12-12,35,Female,United Kingdom,Not applicable,No,Yes,No,Rarely,26-100,No,Yes,Yes,Yes,Yes,No,Yes,Somewhat difficult,Yes,No,Some of them,Some of them,Yes,Yes,Yes,Don't know,
2014-02-11,60,Male,India,Not applicable,No,Yes,No,Rarely,500-1000,No,Yes,Don't know,Yes,Don't know,Yes,Yes,Very easy,No,No,Yes,Yes,No,Yes,No,No,
2014-06-28,30,Non-binary,Germany,Not applicable,No,No,No,Sometimes,100-500,No,Yes,No,Don't know,No,Yes,No,Don't know,Don't know,No,No,Some of them,No,Yes,Yes,Yes,
2014-03-04,55,Male,United Kingdom,Not applicable,Yes,No,Yes,Often,6-25,No,No,No,Yes,Yes,Yes,No,Very easy,Yes,No,Yes,No,Maybe,Yes,Yes,Yes,
2014-12-18,40,Male,India,Not applicable,No,No,No,Sometimes,100-500,No,No,Don't know,Don't know,No,Yes,Yes,Somewhat difficult,Don't know,No,Yes,No,No,No,Yes,No,
2014-08-19,21,Male,United States,Illinois,No,Yes,Yes,Often,100-500,No,Yes,Yes,No,No,Don't know,Yes,Very difficult,No,Don't know,No,Yes,No,Yes,Don't know,No,
2014-08-29,18,Male,Germany,Not applicable,No,No,No,Rarely,100-500,No,No,Yes,Yes,No,No,No,Very easy,No,Yes,No,Yes,Maybe,No,No,Yes,
2014-02-21,35,Other,United States,Massachusetts,No,Yes,No,Never,1000+,Yes,No,No,Yes,Yes,No,Don't know,Somewhat difficult,Yes,No,No,Some of them,No,Yes,No,Yes,
